mode: set
web-development-go/forms.go:16.48,18.2 1 1
web-development-go/forms.go:20.46,22.9 2 1
web-development-go/forms.go:22.9,24.3 1 1
web-development-go/forms.go:25.2,25.18 1 1
web-development-go/forms.go:33.37,38.2 1 1
web-development-go/forms.go:40.49,41.31 1 1
web-development-go/forms.go:41.31,43.37 2 1
web-development-go/forms.go:43.37,47.4 3 1
web-development-go/forms.go:49.2,49.10 1 1
web-development-go/forms.go:52.29,54.2 1 0
web-development-go/forms.go:56.53,58.17 2 0
web-development-go/forms.go:58.17,60.3 1 0
web-development-go/forms.go:62.2,62.39 1 0
web-development-go/forms.go:62.39,64.3 1 0
web-development-go/forms.go:66.2,66.10 1 0
web-development-go/forms.go:69.53,71.17 2 0
web-development-go/forms.go:71.17,73.3 1 0
web-development-go/forms.go:75.2,75.39 1 0
web-development-go/forms.go:75.39,77.3 1 0
web-development-go/forms.go:79.2,79.10 1 0
web-development-go/forms.go:82.68,84.17 2 0
web-development-go/forms.go:84.17,86.3 1 0
web-development-go/forms.go:88.2,88.33 1 0
web-development-go/forms.go:88.33,90.3 1 0
web-development-go/forms.go:92.2,92.10 1 0
web-development-go/forms.go:95.44,97.17 2 0
web-development-go/forms.go:97.17,99.3 1 0
web-development-go/forms.go:101.2,101.33 1 0
web-development-go/forms.go:101.33,103.3 1 0
web-development-go/forms.go:105.2,105.10 1 0
web-development-go/handlers.go:13.89,15.16 2 0
web-development-go/handlers.go:15.16,17.3 1 0
web-development-go/handlers.go:18.2,18.10 1 0
web-development-go/handlers.go:21.70,29.16 3 0
web-development-go/handlers.go:29.16,32.3 2 0
web-development-go/handlers.go:34.2,42.4 2 0
web-development-go/handlers.go:45.71,46.28 1 0
web-development-go/handlers.go:46.28,49.3 2 0
web-development-go/handlers.go:51.2,51.33 1 0
web-development-go/handlers.go:51.33,52.39 1 0
web-development-go/handlers.go:52.39,55.4 2 0
web-development-go/handlers.go:57.3,65.20 3 0
web-development-go/handlers.go:65.20,71.4 3 0
web-development-go/handlers.go:73.3,76.17 4 0
web-development-go/handlers.go:76.17,82.4 3 0
web-development-go/handlers.go:84.3,88.9 4 0
web-development-go/handlers.go:91.2,93.4 1 0
web-development-go/handlers.go:96.72,101.2 3 0
web-development-go/handlers.go:103.74,104.28 1 0
web-development-go/handlers.go:104.28,107.3 2 0
web-development-go/handlers.go:109.2,109.33 1 0
web-development-go/handlers.go:109.33,110.39 1 0
web-development-go/handlers.go:110.39,113.4 2 0
web-development-go/handlers.go:115.3,124.20 3 0
web-development-go/handlers.go:124.20,130.4 3 0
web-development-go/handlers.go:132.3,138.17 6 0
web-development-go/handlers.go:138.17,144.4 3 0
web-development-go/handlers.go:146.3,148.9 3 0
web-development-go/handlers.go:151.2,153.4 1 0
web-development-go/handlers.go:156.71,158.2 1 0
web-development-go/handlers.go:160.73,162.2 1 0
web-development-go/handlers.go:164.70,169.16 4 0
web-development-go/handlers.go:169.16,174.3 4 0
web-development-go/handlers.go:176.2,177.47 2 0
web-development-go/handlers.go:180.74,185.16 4 0
web-development-go/handlers.go:185.16,190.3 4 0
web-development-go/handlers.go:192.2,193.16 2 0
web-development-go/handlers.go:193.16,198.3 4 0
web-development-go/handlers.go:200.2,200.33 1 0
web-development-go/handlers.go:200.33,201.39 1 0
web-development-go/handlers.go:201.39,204.4 2 0
web-development-go/handlers.go:206.3,211.20 3 0
web-development-go/handlers.go:211.20,219.4 3 0
web-development-go/handlers.go:221.3,222.17 2 0
web-development-go/handlers.go:222.17,227.4 4 0
web-development-go/handlers.go:229.3,230.9 2 0
web-development-go/handlers.go:233.2,237.4 1 0
web-development-go/handlers.go:240.72,241.33 1 0
web-development-go/handlers.go:241.33,242.39 1 0
web-development-go/handlers.go:242.39,245.4 2 0
web-development-go/handlers.go:247.3,253.20 3 0
web-development-go/handlers.go:253.20,259.4 3 0
web-development-go/handlers.go:261.3,267.17 5 0
web-development-go/handlers.go:267.17,274.4 4 0
web-development-go/handlers.go:276.3,279.9 4 0
web-development-go/handlers.go:282.2,284.4 1 0
web-development-go/helpers.go:10.71,15.2 3 0
web-development-go/helpers.go:17.71,19.9 2 0
web-development-go/helpers.go:19.9,20.36 1 0
web-development-go/helpers.go:23.2,23.10 1 0
web-development-go/main.go:25.13,28.16 2 0
web-development-go/main.go:28.16,30.3 1 0
web-development-go/main.go:31.2,51.36 9 0
web-development-go/main.go:51.36,53.3 1 0
web-development-go/main.go:56.50,58.16 2 0
web-development-go/main.go:58.16,60.3 1 0
web-development-go/main.go:62.2,63.16 2 0
web-development-go/main.go:63.16,65.3 1 0
web-development-go/main.go:67.2,67.16 1 0
web-development-go/middlewares.go:18.64,19.71 1 0
web-development-go/middlewares.go:19.71,22.3 2 0
web-development-go/middlewares.go:25.65,26.71 1 0
web-development-go/middlewares.go:26.71,27.16 1 0
web-development-go/middlewares.go:27.16,28.36 1 0
web-development-go/middlewares.go:28.36,31.5 2 0
web-development-go/middlewares.go:34.3,34.23 1 0
web-development-go/middlewares.go:38.69,39.71 1 0
web-development-go/middlewares.go:39.71,40.30 1 0
web-development-go/middlewares.go:40.30,43.4 2 0
web-development-go/middlewares.go:45.3,46.23 2 0
web-development-go/middlewares.go:50.70,51.71 1 0
